trip_id,duration,start_time,end_time,start_station,start_lat,start_lon,end_station,end_lat,end_lon,bike_id,plan_duration,trip_route_category,passholder_type,bike_type,start station name,end station name
156661986,126,4/1/2021 10:08,4/1/2021 12:14,4210,33.984341,-118.47155,4210,33.984341,-118.47155,15380,1,Round Trip,Walk-up,standard,Ocean Front Walk & North Venice,Ocean Front Walk & North Venice
156654188,4,4/1/2021 10:09,4/1/2021 10:13,4569,34.02655,-118.408463,4571,34.027649,-118.413559,16121,30,One Way,Monthly Pass,standard,Palms & Motor,Rose & Overland
156655023,42,4/1/2021 10:09,4/1/2021 10:51,4211,33.984928,-118.469963,4211,33.984928,-118.469963,15588,1,Round Trip,Walk-up,standard,Pacific & North Venice,Pacific & North Venice
156657952,82,4/1/2021 10:09,4/1/2021 11:31,4544,33.928459,-118.435204,4210,33.984341,-118.47155,6390,1,One Way,Walk-up,standard,Dockweiler Beach at Imperial Hwy,Ocean Front Walk & North Venice
156655022,41,4/1/2021 10:10,4/1/2021 10:51,4211,33.984928,-118.469963,4211,33.984928,-118.469963,15337,1,Round Trip,Walk-up,standard,Pacific & North Venice,Pacific & North Venice
156657949,74,4/1/2021 10:18,4/1/2021 11:32,4544,33.928459,-118.435204,4210,33.984341,-118.47155,15514,1,One Way,One Day Pass,standard,Dockweiler Beach at Imperial Hwy,Ocean Front Walk & North Venice
156654804,21,4/1/2021 10:22,4/1/2021 10:43,4275,34.01252,-118.285896,4245,34.02404,-118.283409,6377,30,One Way,Monthly Pass,standard,Expo Park/LAFC,University & Hoover
156654803,19,4/1/2021 10:24,4/1/2021 10:43,4275,34.01252,-118.285896,4245,34.02404,-118.283409,6413,30,One Way,Monthly Pass,standard,Expo Park/LAFC,University & Hoover
156654897,23,4/1/2021 10:26,4/1/2021 10:49,4208,33.99868,-118.472977,4204,33.988419,-118.45163,16255,1,One Way,Walk-up,standard,Rose & Rennie,Washington & Abbot Kinney
156654895,22,4/1/2021 10:27,4/1/2021 10:49,4208,33.99868,-118.472977,4204,33.988419,-118.45163,15765,1,One Way,Walk-up,standard,Rose & Rennie,Washington & Abbot Kinney
156658527,83,4/1/2021 10:33,4/1/2021 11:56,4429,34.168751,-118.36187,4500,34.1721,-118.361816,16007,1,One Way,Walk-up,smart,Chandler & Cahuenga,Burbank & Cahuenga
156657828,55,4/1/2021 10:34,4/1/2021 11:29,3007,34.05048,-118.254593,3007,34.05048,-118.254593,6022,1,Round Trip,One Day Pass,standard,5th & Grand,5th & Grand
156654687,4,4/1/2021 10:34,4/1/2021 10:38,4474,34.110031,-118.287163,4451,34.10363,-118.291313,12024,365,One Way,Annual Pass,standard,Ambrose & Hillhurst,Melbourne & Vermont
156654891,14,4/1/2021 10:34,4/1/2021 10:48,3068,34.0532,-118.250954,3035,34.048401,-118.260948,5845,30,One Way,Monthly Pass,standard,Grand & 3rd,Figueroa & 8th
156654790,10,4/1/2021 10:35,4/1/2021 10:45,3016,34.052898,-118.241562,3048,34.041691,-118.235352,20181,30,One Way,Monthly Pass,standard,Los Angeles & Temple,5th & Hewitt
156657824,54,4/1/2021 10:35,4/1/2021 11:29,3007,34.05048,-118.254593,3007,34.05048,-118.254593,6053,1,Round Trip,One Day Pass,standard,5th & Grand,5th & Grand
156655113,17,4/1/2021 10:39,4/1/2021 10:56,4420,34.168629,-118.377068,4497,34.15749,-118.39576,15296,365,One Way,Annual Pass,smart,North Hollywood Station,Riverside & Laurel Canyon
