model_name,fold_id,horizon,horizon_step,target_date,point_forecast,actual,residual,abs_error
naive,1,7,2,2024-08-08,2.0,3.0,1.0,1.0
naive,1,7,2,2024-08-08,3.0,3.0,0.0,0.0
naive,1,7,2,2024-08-08,1.0,5.0,4.0,4.0
naive,1,7,2,2024-08-08,8.0,22.0,14.0,14.0
naive,1,7,2,2024-08-08,3.0,1.0,-2.0,2.0
naive,1,7,2,2024-08-08,2.0,4.0,2.0,2.0
naive,1,7,2,2024-08-08,8.0,12.0,4.0,4.0
naive,1,7,2,2024-08-08,14.0,8.0,-6.0,6.0
naive,1,7,2,2024-08-08,30.0,36.0,6.0,6.0
naive,1,7,2,2024-08-08,2.0,6.0,4.0,4.0
naive,1,7,2,2024-08-08,3.0,6.0,3.0,3.0
naive,1,7,2,2024-08-08,6.0,2.0,-4.0,4.0
naive,1,7,2,2024-08-08,2.0,1.0,-1.0,1.0
naive,1,7,2,2024-08-08,2.0,1.0,-1.0,1.0
naive,1,7,2,2024-08-08,4.0,11.0,7.0,7.0
naive,1,7,2,2024-08-08,4.0,4.0,0.0,0.0
naive,1,7,2,2024-08-08,5.0,6.0,1.0,1.0
naive,1,7,2,2024-08-08,8.0,3.0,-5.0,5.0
naive,1,7,2,2024-08-08,11.0,8.0,-3.0,3.0
naive,1,7,2,2024-08-08,11.0,10.0,-1.0,1.0
naive,1,7,2,2024-08-08,9.0,1.0,-8.0,8.0
naive,1,7,2,2024-08-08,15.0,16.0,1.0,1.0
naive,1,7,2,2024-08-08,60.0,51.0,-9.0,9.0
naive,1,7,2,2024-08-08,16.0,10.0,-6.0,6.0
naive,1,7,2,2024-08-08,12.0,20.0,8.0,8.0
naive,1,7,2,2024-08-08,2.0,3.0,1.0,1.0
naive,1,7,2,2024-08-08,78.0,74.0,-4.0,4.0
naive,1,7,2,2024-08-08,53.0,70.0,17.0,17.0
naive,1,7,2,2024-08-08,14.0,10.0,-4.0,4.0
naive,1,7,2,2024-08-08,3.0,4.0,1.0,1.0
naive,1,7,2,2024-08-08,6.0,3.0,-3.0,3.0
naive,1,7,2,2024-08-08,2.0,1.0,-1.0,1.0
naive,1,7,2,2024-08-08,3.0,1.0,-2.0,2.0
naive,1,7,2,2024-08-08,2.0,1.0,-1.0,1.0
naive,1,7,2,2024-08-08,2.0,1.0,-1.0,1.0
naive,1,7,2,2024-08-08,6.0,6.0,0.0,0.0
naive,1,7,2,2024-08-08,4.0,6.0,2.0,2.0
naive,1,7,2,2024-08-08,2.0,4.0,2.0,2.0
naive,1,7,2,2024-08-08,1.0,6.0,5.0,5.0
naive,1,7,2,2024-08-08,9.0,2.0,-7.0,7.0
naive,1,7,2,2024-08-08,3.0,5.0,2.0,2.0
naive,1,7,2,2024-08-08,8.0,3.0,-5.0,5.0
naive,1,7,2,2024-08-08,2.0,5.0,3.0,3.0
naive,1,7,2,2024-08-08,3.0,3.0,0.0,0.0
naive,1,7,2,2024-08-08,2.0,3.0,1.0,1.0
naive,1,7,2,2024-08-08,2.0,2.0,0.0,0.0
naive,1,7,2,2024-08-08,2.0,2.0,0.0,0.0
naive,1,7,2,2024-08-08,1.0,3.0,2.0,2.0
naive,1,7,2,2024-08-08,2.0,8.0,6.0,6.0
naive,1,7,2,2024-08-08,2.0,1.0,-1.0,1.0
naive,1,7,2,2024-08-08,1.0,5.0,4.0,4.0
naive,1,7,2,2024-08-08,1.0,3.0,2.0,2.0
naive,1,7,2,2024-08-08,2.0,3.0,1.0,1.0
naive,1,7,2,2024-08-08,2.0,1.0,-1.0,1.0
naive,1,7,2,2024-08-08,3.0,1.0,-2.0,2.0
naive,1,7,2,2024-08-08,4.0,2.0,-2.0,2.0
naive,1,7,2,2024-08-08,2.0,4.0,2.0,2.0
naive,1,7,2,2024-08-08,2.0,3.0,1.0,1.0
naive,1,7,2,2024-08-08,1.0,2.0,1.0,1.0
naive,1,7,2,2024-08-08,1.0,1.0,0.0,0.0
naive,1,7,2,2024-08-08,2.0,2.0,0.0,0.0
naive,1,7,2,2024-08-08,7.0,3.0,-4.0,4.0
naive,1,7,2,2024-08-08,1.0,1.0,0.0,0.0
naive,1,7,2,2024-08-08,3.0,2.0,-1.0,1.0
naive,1,7,2,2024-08-08,9.0,7.0,-2.0,2.0
naive,1,7,2,2024-08-08,3.0,3.0,0.0,0.0
naive,1,7,2,2024-08-08,2.0,2.0,0.0,0.0
naive,1,7,2,2024-08-08,2.0,4.0,2.0,2.0
naive,1,7,2,2024-08-08,2.0,4.0,2.0,2.0
naive,1,7,2,2024-08-08,1.0,3.0,2.0,2.0
naive,1,7,2,2024-08-08,2.0,3.0,1.0,1.0
naive,1,7,2,2024-08-08,5.0,2.0,-3.0,3.0
naive,1,7,2,2024-08-08,5.0,3.0,-2.0,2.0
naive,1,7,2,2024-08-08,3.0,3.0,0.0,0.0
naive,1,7,2,2024-08-08,1.0,1.0,0.0,0.0
naive,1,7,2,2024-08-08,1.0,1.0,0.0,0.0
naive,1,7,2,2024-08-08,3.0,2.0,-1.0,1.0
naive,1,7,2,2024-08-08,3.0,2.0,-1.0,1.0
naive,1,7,2,2024-08-08,3.0,2.0,-1.0,1.0
naive,1,7,2,2024-08-08,2.0,1.0,-1.0,1.0
naive,1,7,2,2024-08-08,3.0,3.0,0.0,0.0
naive,1,7,2,2024-08-08,2.0,1.0,-1.0,1.0
naive,1,7,2,2024-08-08,5.0,4.0,-1.0,1.0
naive,1,7,2,2024-08-08,4.0,4.0,0.0,0.0
